pr_number,title,state,merged,created_at,closed_at,updated_at,author,author_is_collaborator,prev_PRs,additions,deletions,changed_files,commits,comments,review_comments,title_length,description_length,has_description,title_words,body_words,has_test,has_bug,has_feature,has_improve,has_document,has_refactor,assignees_count,file_types_count,file_types,language_types,directories_count,directories,total_changes,test_files_count,test_changes,doc_files_count,config_files_count,files_added,files_deleted,files_modified,files_changed,change_num,segs_added,segs_deleted,segs_changed,is_core_member,lines_added,lines_deleted,first_review_at,review_count,approval_count,change_request_count,reviewer_count,is_fork,ahead_by,behind_by,mergeable,mergeable_state,rebaseable,label_count,milestone,time_to_close_days,response_time_days
6308,Simplify use of low-ply history in evasions,open,False,2025-09-11T04:01:02Z,,2025-09-21T11:28:01Z,xu-shawn,True,153,1,1,1,1,0,0,43,456,1,8,78,1,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,,0,0,0,0,True,0,0,True,clean,True,1,,,
6307,Simplify a separate term in low ply history bonus formula,open,False,2025-09-11T03:06:30Z,,2025-09-21T11:27:44Z,xu-shawn,True,153,1,1,1,1,0,0,57,460,1,10,78,1,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,,0,0,0,0,True,0,0,True,clean,True,1,,,
6306,Double PawnHistory size and update formula,open,False,2025-09-11T00:10:57Z,,2025-09-21T11:27:16Z,FauziAkram,True,282,2,2,2,2,0,0,42,601,1,6,98,1,0,0,0,0,0,0,2,2,1,1,1,4,0,0,0,0,0,0,2,2,2,0,0,2,1,2,2,,0,0,0,0,True,0,0,True,clean,True,1,,,
6305,Penalty to TT move history on MultiCut,open,False,2025-09-11T00:02:16Z,,2025-09-21T11:26:58Z,MinetaS,True,35,3,0,1,1,2,0,38,918,1,7,164,1,0,0,0,0,0,0,1,1,1,1,1,3,0,0,0,0,0,0,1,1,1,0,0,1,0,3,0,,0,0,0,0,True,0,0,True,unstable,True,1,,,
6304,Simplify away conthist 0,open,False,2025-09-10T21:09:07Z,,2025-09-21T11:26:40Z,FauziAkram,True,282,3,3,1,2,1,0,24,526,1,4,92,1,0,0,0,0,0,0,1,1,1,1,1,6,0,0,0,0,0,0,1,1,2,0,0,1,1,3,3,,0,0,0,0,True,0,0,True,clean,True,1,,,
6303,Simplify Probcut Clamp Further,open,False,2025-09-10T19:53:27Z,,2025-09-21T11:26:17Z,xu-shawn,True,153,1,2,1,1,0,0,30,459,1,4,78,1,0,0,0,0,0,0,1,1,1,1,1,3,0,0,0,0,0,0,1,1,1,0,0,1,1,1,2,,0,0,0,0,True,0,0,True,clean,True,1,,,
6302,Refactor to a simpler form,closed,False,2025-09-10T19:36:26Z,2025-09-10T20:53:29Z,2025-09-10T20:53:29Z,FauziAkram,True,282,3,3,1,1,4,0,26,76,1,5,11,0,0,0,0,0,1,0,1,1,1,1,1,6,0,0,0,0,0,0,1,1,1,0,0,1,1,3,3,,0,0,0,0,True,0,0,,unknown,,0,,0.05350694444444445,
6301,Distinguish between sudden death and increment time controls,open,False,2025-09-10T17:43:26Z,,2025-09-21T11:25:19Z,FauziAkram,True,282,40,19,1,1,7,0,60,855,1,8,137,1,0,0,0,0,0,0,1,1,1,1,1,59,0,0,0,0,0,0,1,1,1,0,0,1,1,40,19,,0,0,0,0,True,0,0,True,clean,True,1,,,
6300,Use thread count depending search parameters.,closed,False,2025-09-10T14:49:47Z,2025-09-10T22:13:48Z,2025-09-10T22:13:49Z,locutus2,True,132,128,109,2,1,4,3,45,1044,1,6,178,1,0,0,0,0,0,0,2,2,1,1,1,237,0,0,0,0,0,0,2,2,1,0,0,2,1,128,109,2025-09-10T20:43:39Z,1,0,0,1,True,0,0,,unknown,,0,,0.3083449074074074,0.24574074074074073
6299,Remove quiet move streak,open,False,2025-09-10T04:28:05Z,,2025-09-10T16:11:52Z,xu-shawn,True,153,1,6,2,1,0,0,24,455,1,4,78,1,0,0,0,0,0,0,2,2,1,1,1,7,0,0,0,0,0,0,2,2,1,0,0,2,1,1,6,,0,0,0,0,True,0,0,True,clean,True,1,,,
6298,Add UCI_ShowDebugInfo option for enhanced search diagnostics,closed,False,2025-09-08T18:18:11Z,2025-09-08T19:40:45Z,2025-09-08T19:40:45Z,SachinSSh,False,1,9,0,1,1,2,0,60,316,1,7,45,0,1,0,1,0,0,0,1,1,1,1,1,9,0,0,0,0,0,0,1,1,1,0,0,1,0,9,0,,0,0,0,0,True,0,0,,unknown,,0,,0.057337962962962966,
6297,add multithreaded matetrack runs to CI,open,False,2025-09-07T16:54:14Z,,2025-09-10T16:47:56Z,robertnurnberg,True,23,29,10,1,1,3,0,38,220,1,6,36,0,1,0,0,0,0,0,1,1,1,1,1,39,0,0,0,1,0,0,1,1,1,0,0,1,0,29,10,,0,0,0,0,True,0,0,True,blocked,True,1,,,
6294,Speedup binary upload step in CI,open,False,2025-09-07T11:14:28Z,,2025-09-07T11:20:38Z,Disservin,True,123,4,14,1,1,0,0,32,476,1,6,78,1,0,0,0,0,0,0,1,1,1,1,1,18,0,0,0,1,0,0,1,1,1,0,0,1,1,4,14,,0,0,0,0,True,0,0,True,blocked,True,1,,,
6292,Adjustment of the aspiration window after fail high/low.,closed,False,2025-09-05T21:14:26Z,2025-09-06T05:59:18Z,2025-09-06T05:59:18Z,locutus2,True,132,14,2,1,1,0,0,56,932,1,9,152,1,0,0,0,0,0,0,1,1,1,1,1,16,0,0,0,0,0,0,1,1,1,0,0,1,1,14,2,,0,0,0,0,True,0,0,,unknown,,2,,0.3644907407407407,
6291,"branch, not main",closed,False,2025-09-05T02:11:06Z,2025-09-05T02:12:40Z,2025-09-05T02:13:27Z,GizzZmo,False,1,28754,1,51,24,1,5,16,793,1,3,121,0,0,1,1,1,0,0,11,11,2,8,8,5383,3,538,1,11,29,0,1,30,24,29,0,1,0,28754,1,2025-09-05T02:12:28Z,1,0,0,1,True,0,0,,unknown,,0,,0.0010879629629629629,0.0009490740740740741
6289,Reintroduce #6259,closed,False,2025-09-03T00:17:52Z,2025-09-06T05:59:18Z,2025-09-06T05:59:18Z,xu-shawn,True,153,1,3,1,1,1,0,17,574,1,2,80,1,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0,0,0,1,1,1,0,0,1,1,1,3,,0,0,0,0,True,0,0,,unknown,,2,,3.2371064814814816,
6288,Use threats in quiet move generation and simplify castling check in pos.legal(),open,False,2025-09-02T17:41:34Z,,2025-09-02T18:31:48Z,ces42,True,12,41,48,6,8,2,0,79,1013,1,13,176,1,0,0,0,0,0,0,2,2,1,1,1,89,0,0,0,0,0,0,6,6,8,0,0,6,0,41,48,,0,0,0,0,True,0,0,True,clean,True,1,,,
6287,no-cache titel70,closed,False,2025-09-02T08:06:48Z,2025-09-02T08:08:07Z,2025-09-02T08:12:35Z,vdbergh,True,5,3,0,1,1,1,0,16,304,1,3,55,1,0,0,0,0,0,0,1,1,1,1,1,3,0,0,1,0,1,0,0,1,1,1,0,0,0,3,0,,0,0,0,0,True,0,0,,unknown,,0,,0.0009143518518518518,
