Model,Dataset,Ablation,MAE,MSE,RMSE,R2
LinearRegression,Dataset 0,Baseline,10.926477642971776,331.6508012174769,18.211282250777316,-0.7306482081442045
LinearRegression,Dataset 1,Baseline,7.841673221911166,88.80804459959315,9.42380202463916,-15.096986348380309
LinearRegression,Dataset 2,Baseline,1.2625348145180137,10.268126914657985,3.204391816656943,0.30811296033722124
LinearRegression,Dataset 3,Baseline,3.5269078226216144,19.284076941896636,4.39136390451721,-16.350765867484373
RandomForest,Dataset 0,Baseline,8.459796793130309,376.5816808658833,19.405712583306062,-0.9651103172915523
RandomForest,Dataset 1,Baseline,8.533846493266061,265.6864180655891,16.299890124340997,-47.15724368028079
RandomForest,Dataset 2,Baseline,0.58606973995844,3.275245297730483,1.8097638789992696,0.7793073856555794
RandomForest,Dataset 3,Baseline,4.385098984122744,27.03879147558293,5.199883794430692,-23.32803714930782
GradientBoosting,Dataset 0,Baseline,9.865247411090637,281.6659243566974,16.78290571851899,-0.4698129040959229
GradientBoosting,Dataset 1,Baseline,9.053429089029475,539.1687990317407,23.220008592413155,-96.72755200970046
GradientBoosting,Dataset 2,Baseline,0.3046967563690478,0.4212252871021864,0.6490187109029958,0.9716169931140802
GradientBoosting,Dataset 3,Baseline,4.430279822986243,30.1450921363779,5.490454638404538,-26.122917902058262
HistGradientBoosting,Dataset 0,Baseline,10.859661353366844,399.54587574937904,19.988643669578458,-1.0849440176194318
HistGradientBoosting,Dataset 1,Baseline,5.836611358040844,71.88235227104747,8.478346081108477,-12.02910393324679
HistGradientBoosting,Dataset 2,Baseline,0.8706948796058063,5.759603145055561,2.399917320462428,0.6119063581132551
HistGradientBoosting,Dataset 3,Baseline,4.587708036982312,34.7841580355898,5.8978095964171136,-30.296897631737767
GradientBoosting_log1p,Dataset 0,Baseline,3.55804403202654,116.64881367125069,10.80040803262778,0.39129331326440076
GradientBoosting_log1p,Dataset 1,Baseline,3.542494638360878,53.425477574991106,7.309273395830197,-8.683685605935187
GradientBoosting_log1p,Dataset 2,Baseline,0.21224771493347913,0.8763213849037198,0.9361203901762422,0.9409517028925021
GradientBoosting_log1p,Dataset 3,Baseline,3.370636685981565,20.815278994568487,4.562376463485722,-17.72845837471556
LinearRegression,Dataset 0,Removed,10.060127562698526,310.8377426038069,17.630591101940027,-0.6220397486937219
LinearRegression,Dataset 1,Removed,7.674968635789766,84.21263214241058,9.176744092673097,-14.264040505219796
LinearRegression,Dataset 2,Removed,1.2522645235315266,10.292447600400715,3.208184471067821,0.3064741836254643
LinearRegression,Dataset 3,Removed,3.479919366739964,18.348455921255876,4.283509766681509,-15.508944850136889
RandomForest,Dataset 0,Removed,8.48365089722523,374.19549410048734,19.344133325132127,-0.9526585160757246
RandomForest,Dataset 1,Removed,8.60632290323467,270.7207238536419,16.453593037803078,-48.06974155036934
RandomForest,Dataset 2,Removed,0.5823571617569842,3.2072113521246224,1.7908688818907492,0.7838916497198092
RandomForest,Dataset 3,Removed,4.365200758755335,26.974211150016053,5.193670296622231,-23.26993127719722
GradientBoosting,Dataset 0,Removed,9.388977594775955,305.40427655793025,17.475819767837223,-0.5936863774918761
GradientBoosting,Dataset 1,Removed,8.882804051602008,535.6105082793162,23.14326053691044,-96.0825906447296
GradientBoosting,Dataset 2,Removed,0.2733933840345944,0.3428144924084722,0.5855036228824483,0.9769004701366318
GradientBoosting,Dataset 3,Removed,4.228736152403903,29.49235081707391,5.430686035582789,-25.535616687828483
HistGradientBoosting,Dataset 0,Removed,10.874967787311917,400.2663859085566,20.00665853931027,-1.0887038445559347
HistGradientBoosting,Dataset 1,Removed,6.785579365013166,111.03560489160058,10.537343350750254,-19.12586386945888
HistGradientBoosting,Dataset 2,Removed,0.8316469428280185,5.408675394486968,2.3256559062954625,0.6355525756263847
HistGradientBoosting,Dataset 3,Removed,4.4674002778258854,32.15894662537383,5.67088587659581,-27.93487487749616
GradientBoosting_log1p,Dataset 0,Removed,3.847687065547145,134.0205603348936,11.576724939934161,0.30064259833953566
GradientBoosting_log1p,Dataset 1,Removed,3.47417435967112,60.40832112092532,7.772279017181853,-9.9493675352983
GradientBoosting_log1p,Dataset 2,Removed,0.18988526083744484,0.6707652827671728,0.8190026146278001,0.9548024864067621
GradientBoosting_log1p,Dataset 3,Removed,3.0947773791447024,17.924885835579495,4.233779143457945,-15.127839474588725
