scenario,mae,mse,rmse,r2
baseline,212.91664519362138,952829.2111540384,976.1297102096823,0.011667930795133286
remove_textual,214.93448628120038,948765.3298857315,974.045856151409,0.01588323416313575
remove_structure,216.06213285308985,949668.542206034,974.5093853863256,0.014946367733133292
remove_code_churn,214.22091884885225,938877.9786063647,968.9571603566201,0.02613899273403053
remove_author_profile,220.99954560492853,972808.2279183599,986.3104115431206,-0.009055513394245374
remove_project_profile,222.03868610749834,983222.1429187614,991.5755860844706,-0.019857455694486825
remove_reviewer_network,218.99277227104196,951837.5948473056,975.6216453355806,0.012696495185076428
