model,accuracy,precision_macro,recall_macro,f1_macro
LogisticRegression,0.8776859504132232,0.8460115915503699,0.675501875991181,0.7184276729559749
RandomForest,0.8876033057851239,0.8674170029022439,0.7007697365876301,0.7470238095238095
GradientBoosting,0.8826446280991735,0.8035839201604253,0.7517986307198391,0.7734739617666447
