model,mae,mse,rmse,r2
LinearRegression,1325.8170752822737,3232227.288370211,1797.8396169765008,-2.352661575295604
RandomForest,542.2902123559281,1305868.565392818,1142.7460633897708,-0.35452583341887656
GradientBoosting,575.836957835355,2062421.4797397654,1436.1133241286236,-1.139268260022137
HistGradientBoosting,471.6872049663826,1186206.3643517566,1089.131013400939,-0.23040496330272986
GradientBoostingLogTarget,212.91664519362138,952829.2111540384,976.1297102096823,0.011667930795133286
